feature,importance
YearsInCurrentRole,0.881541329099845
YearsAtCompany,0.8100848479161479
TotalWorkingYears,0.5697601153227062
YearsSinceLastPromotion,0.560529517204643
YearsWithCurrManager,0.5546273245265059
NumCompaniesWorked,0.46969649746988684
DistanceFromHome,0.39209907173669334
MonthlyIncome,0.3402913565345172
JobSatisfaction,0.3287178685586865
EnvironmentSatisfaction,0.26907344076859313
StockOptionLevel,0.26023879659410726
OverTime_Yes,0.2398758584993536
HourlyRate,0.16659353662235696
MonthlyRate,0.1476793262304856
MaritalStatus_Single,0.14382065492595372
JobInvolvement,0.1387794123755583
TrainingTimesLastYear,0.12713479636151823
Department_Research & Development,0.07579514766391925
Department_Sales,0.0751350746928279
MaritalStatus_Married,0.06822069094306606
Education,0.06141246235445602
BusinessTravel_Travel_Frequently,0.060380795761612566
WorkLifeBalance,0.05704350740786644
RelationshipSatisfaction,0.04533888380846489
DailyRate,0.03953861493264689
Gender_Male,0.038526376409328725
EducationField_Life Sciences,0.03024560070585858
EducationField_Medical,0.02889932077335346
JobLevel,0.02857348199267822
BusinessTravel_Travel_Rarely,0.027021984220517926
PercentSalaryHike,0.025323653775967757
JobRole_Laboratory Technician,0.02519197082301413
Age,0.023534465561342782
JobRole_Sales Executive,0.021136164851499332
JobRole_Research Scientist,0.020661373261089046
PerformanceRating,0.016928940091773773
JobRole_Manufacturing Director,0.014084622122692101
EducationField_Technical Degree,0.01270368808782243
EducationField_Marketing,0.01215551671892753
JobRole_Sales Representative,0.009218709019271853
JobRole_Research Director,0.0017720434073988953
JobRole_Manager,0.0011263054965052588
JobRole_Human Resources,0.001080378363046363
EducationField_Other,0.0005054271676241637
